,이용일,금액,대분류,중분류,소분류
0,2018-01-02,1500,생활,편의점,세븐일레븐
1,2018-01-02,4500,식사,한식,
2,2018-01-03,3200,의료,병원,
3,2018-01-03,3300,의료,약국,
4,2018-01-03,1500,생활,편의점,세븐일레븐
5,2018-01-04,1500,생활,편의점,세븐일레븐
6,2018-01-05,5940,기타,,
7,2018-01-05,9400,식사,카페,할리스
8,2018-01-06,23100,식사,카페,카페디엠
9,2018-01-07,13900,생활,마트,홈플러스
10,2018-01-07,9500,식사,떡볶이,
11,2018-01-07,11800,식사,순대,
12,2018-01-08,4500,식사,한식,
13,2018-01-08,19000,식사,한식,
14,2018-01-09,16000,식사,구이,
15,2018-01-10,6000,식사,중식,
16,2018-01-11,2000,생활,편의점,세븐일레븐
17,2018-01-11,4500,식사,한식,
18,2018-01-12,17000,교통,지하철 19,
19,2018-01-12,-1700,기타,할인,
20,2018-01-12,24000,식사,한식,
21,2018-01-13,16000,식사,한식,
22,2018-01-13,20000,식사,치킨,호식이두마리
23,2018-01-14,5000,식사,카페,메가퀸즈
24,2018-01-15,4500,식사,한식,
25,2018-01-15,300,생활,SMS,
26,2018-01-15,36100,교통,버스 20,
27,2018-01-15,-300,기타,할인,
28,2018-01-16,6000,식사,한식,
29,2018-01-17,4500,식사,한식,
30,2018-01-18,6000,식사,한식,
31,2018-01-20,16500,식사,중식,
32,2018-01-21,3000,식사,카페,메가퀸즈
33,2018-01-21,13500,식사,한식,
34,2018-01-22,7000,식사,한식,
35,2018-01-23,1800,생활,편의점,세븐일레븐
36,2018-01-24,6500,식사,중식,
37,2018-01-25,6000,식사,구이,
38,2018-01-26,6000,식사,구이,
39,2018-01-27,40000,생활,헤어,
40,2018-01-28,8300,식사,카페,카페디엠
41,2018-01-29,6000,식사,구이,
42,2018-01-30,4000,의료,약국,
43,2018-01-30,5280,생활,마트,롯데마트
44,2018-01-30,7000,식사,한식,
45,2018-01-30,12000,식사,닭강정,
46,2018-01-31,45100,교통,버스 25,
47,2018-01-31,2000,생활,편의점,세븐일레븐
48,2018-01-31,20350,교통,지하철 23,
49,2018-01-31,6000,식사,한식,
50,2018-02-01,7000,식사,구이,
51,2018-02-02,1700,생활,편의점,세븐일레븐
52,2018-02-02,7000,식사,한식,
53,2018-02-05,4500,식사,한식,
54,2018-02-06,2000,생활,편의점,세븐일레븐
55,2018-02-06,7000,식사,한식,
56,2018-02-06,13500,식사,닭강정,
57,2018-02-07,6500,식사,순대,
58,2018-02-08,2000,생활,편의점,세븐일레븐
59,2018-02-08,7000,식사,순대,
60,2018-02-09,5000,식사,한식,
61,2018-02-09,8000,교통,기차,
62,2018-02-09,5300,교통,기차,
63,2018-02-11,13000,식사,돈까스,
64,2018-02-11,10200,식사,디저트,
65,2018-02-12,7000,식사,순대,
66,2018-02-13,7500,식사,한식,
67,2018-02-13,15650,교통,지하철 18,
68,2018-02-13,-1565,기타,할인,
69,2018-02-13,33200,교통,버스 17,
70,2018-02-13,-435,기타,할인,
71,2018-02-14,2000,생활,마트,웰빙마트
72,2018-02-14,9000,생활,마트,웰빙마트
73,2018-02-14,4900,식사,햄버거,맥도날드
74,2018-02-15,3000,생활,오피스,다이소
75,2018-02-17,16000,식사,한식,
76,2018-02-18,42600,식사,레스토랑,
77,2018-02-20,2000,생활,편의점,세븐일레븐
78,2018-02-20,6000,식사,한식,
79,2018-02-21,7000,식사,한식,
80,2018-02-22,2000,생활,편의점,세븐일레븐
81,2018-02-22,5000,식사,한식,
82,2018-02-23,7000,식사,한식,
83,2018-02-23,13000,식사,닭강정,
84,2018-02-24,5790,생활,마트,홈플러스
85,2018-02-24,9500,식사,카페,파스쿠찌
86,2018-02-25,6000,식사,카페,요거프레소
87,2018-02-25,5500,식사,떡볶이,
88,2018-02-26,6000,식사,구이,
89,2018-02-27,2000,생활,편의점,세븐일레븐
90,2018-02-27,117500,식사,피자,
91,2018-02-27,7000,식사,한식,
92,2018-02-28,32050,교통,버스 17,
93,2018-02-28,16500,교통,지하철 18,
94,2018-02-28,2000,생활,편의점,GS25
95,2018-04-01,20000,식사,치킨,호식이두마리
96,2018-04-02,7000,식사,한식,
97,2018-04-03,6500,식사,순대,
98,2018-04-04,6000,식사,구이,
99,2018-04-05,7000,식사,구이,
100,2018-04-05,24300,식사,베트남식,
101,2018-04-05,15500,식사,카페,투썸플레이스
102,2018-04-06,1800,생활,편의점,세븐일레븐
103,2018-04-06,6900,생활,마트,롯데마트
104,2018-04-07,2500,생활,마트,홈플러스
105,2018-04-08,10000,생활,편의점,GS25
106,2018-04-08,-500,기타,할인,
107,2018-04-08,34000,식사,한식,
108,2018-04-09,6000,식사,구이,
109,2018-04-10,9050,생활,마트,웰빙마트
110,2018-04-10,1800,생활,편의점,세븐일레븐
111,2018-04-10,7500,식사,한식,
112,2018-04-11,6000,식사,한식,
113,2018-04-12,2000,생활,편의점,세븐일레븐
114,2018-04-12,7000,식사,순대,
115,2018-04-13,75400,식사,카페,커피더캠프
116,2018-04-13,19250,교통,지하철 21,
117,2018-04-13,-1925,기타,할인,
118,2018-04-13,37250,교통,버스 20,
119,2018-04-13,-75,기타,할인,
120,2018-04-13,2100,교통,고속도로,
121,2018-04-13,3500,교통,고속도로,
122,2018-04-13,7900,교통,고속도로,
123,2018-04-13,6000,식사,한식,
124,2018-04-14,13000,식사,닭강정,
125,2018-04-14,3000,기타,,
126,2018-04-15,3900,식사,햄버거,맥도날드
127,2018-04-15,4900,식사,햄버거,맥도날드
128,2018-04-15,6000,식사,카페,요거프레소
129,2018-04-16,25000,식사,한식,
130,2018-04-17,1700,생활,편의점,세븐일레븐
131,2018-04-17,6500,식사,순대,
132,2018-04-18,6000,식사,한식,
133,2018-04-19,2200,생활,편의점,GS25
